name,source,page,srd,category,cr,size,ac,hp_average,hp_formula,hit_dice,passive,str,dex,con,int,wis,cha,can_hover,can_fly,can_burrow,speed_walk,speed_fly,speed_swim,speed_climb,speed_burrow,save_con,save_int,save_wis,save_dex,save_cha,save_str,resist_fire,resist_cold,resist_lightning,resist_acid,resist_thunder,resist_poison,resist_necrotic,resist_radiant,resist_force,resist_psychic,resist_bludgeoning,resist_piercing,resist_slashing,resist_nonmagical_attacks,resist_nonmagical_attacks_not_silvered,resist_nonmagical_attacks_not_adamantine,immune_fire,immune_cold,immune_lightning,immune_acid,immune_thunder,immune_poison,immune_necrotic,immune_radiant,immune_force,immune_psychic,immune_bludgeoning,immune_piercing,immune_slashing,immune_nonmagical_attacks,immune_nonmagical_attacks_not_silvered,immune_nonmagical_attacks_not_adamantine,conditionImmune_charmed,conditionImmune_exhaustion,conditionImmune_frightened,conditionImmune_paralyzed,conditionImmune_poisoned,conditionImmune_grappled,conditionImmune_petrified,conditionImmune_prone,conditionImmune_restrained,conditionImmune_unconscious,conditionImmune_blinded,conditionImmune_deafened,conditionImmune_stunned,conditionInflict_charmed,conditionInflict_exhaustion,conditionInflict_frightened,conditionInflict_paralyzed,conditionInflict_poisoned,conditionInflict_grappled,conditionInflict_petrified,conditionInflict_prone,conditionInflict_restrained,conditionInflict_unconscious,conditionInflict_blinded,conditionInflict_deafened,conditionInflict_stunned,traitTags_Amphibious,traitTags_Keen Senses,traitTags_Legendary Resistances,traitTags_Magic Resistance,traitTags_Pounce,traitTags_Magic Weapons,traitTags_Antimagic Susceptibility,traitTags_False Appearance,traitTags_Sneak Attack,traitTags_Illumination,traitTags_Pack Tactics,traitTags_Death Burst,traitTags_Incorporeal Movement,traitTags_Devil's Sight,traitTags_Reckless,traitTags_Undead Fortitude,traitTags_Amorphous,traitTags_Spider Climb,traitTags_Regeneration,traitTags_Charge,traitTags_Brute,traitTags_Damage Absorption,traitTags_Immutable Form,traitTags_Light Sensitivity,traitTags_Turn Immunity,traitTags_Hold Breath,traitTags_Shapechanger,traitTags_Ambusher,traitTags_Fey Ancestry,traitTags_Sunlight Sensitivity,traitTags_Web Walker,traitTags_Siege Monster,traitTags_Web Sense,traitTags_Rejuvenation,traitTags_Flyby,traitTags_Turn Resistance,traitTags_Rampage,traitTags_Water Breathing,traitTags_Spell Immunity,traitTags_Aggressive,atk1_type,atk1_tohit,atk1_avg_dmg,atk1_dmg_roll,atk1_reach,atk1_range,atk2_type,atk2_tohit,atk2_avg_dmg,atk2_dmg_roll,atk2_reach,atk2_range,atk3_type,atk3_tohit,atk3_avg_dmg,atk3_dmg_roll,atk3_reach,atk3_range,spellcasting_Spellcasting,spellcasting_Innate Spellcasting,spellcasting_level,spellcasting_dc,spellcasting_atk,innate_spellcasting_dc,innate_spellcasting_atk,senseTags_SD,senseTags_D,senseTags_B,senseTags_U,senseTags_T,skill_perception,skill_history,skill_stealth,skill_medicine,skill_religion,skill_persuasion,skill_insight,skill_deception,skill_arcana,skill_athletics,skill_acrobatics,skill_survival,skill_intimidation,skill_investigation,skill_nature,skill_performance,skill_sleight of hand,skill_animal handling
Ancient Black Dragon,MM,87,1,dragon,21,G,22,367,21d20 + 147,21,26,27,14,25,16,15,19,0,1,0,40,80,40,0,0,14,3,9,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,15,19,2d10 + 8,15,NA,mw,15,15,2d6 + 8,10,NA,mw,15,17,2d8 + 8,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,16,3,9,2,3,4,2,4,3,8,2,2,4,3,3,4,2,NA
Ancient Blue Dragon,MM,90,1,dragon,23,G,22,481,26d20 + 208,26,27,29,10,27,18,17,21,0,1,1,40,80,0,0,40,15,4,10,7,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,16,20,2d10 + 9,15,NA,mw,16,16,2d6 + 9,10,NA,mw,16,18,2d8 + 9,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,17,4,7,3,4,5,3,5,4,9,0,3,5,4,4,5,0,NA
Ancient Brass Dragon,MM,104,1,dragon,20,G,20,297,17d20 + 119,17,24,27,10,25,16,15,19,0,1,1,40,80,0,0,40,13,3,8,6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,14,19,2d10 + 8,15,NA,mw,14,15,2d6 + 8,10,NA,mw,14,17,2d8 + 8,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,14,9,6,2,3,10,2,4,3,8,0,2,4,3,3,4,0,NA
Ancient Bronze Dragon,MM,107,1,dragon,22,G,22,444,24d20 + 192,24,27,29,10,27,18,17,21,0,1,0,40,80,40,0,0,15,4,10,7,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,16,20,2d10 + 9,15,NA,mw,16,16,2d6 + 9,10,NA,mw,16,18,2d8 + 9,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,17,4,7,3,4,5,10,5,4,9,0,3,5,4,4,5,0,NA
Ancient Copper Dragon,MM,110,1,dragon,21,G,21,350,20d20 + 140,20,27,27,12,25,20,17,19,0,1,0,40,80,0,40,0,14,5,10,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,15,19,2d10 + 8,15,NA,mw,15,15,2d6 + 8,10,NA,mw,15,17,2d8 + 8,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,17,5,8,3,5,4,3,11,5,8,1,3,4,5,5,4,1,NA
Ancient Gold Dragon,MM,113,1,dragon,24,G,22,546,28d20 + 252,28,27,30,14,29,18,17,28,0,1,0,40,80,40,0,0,16,4,10,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,17,21,2d10 + 10,15,NA,mw,17,17,2d6 + 10,10,NA,mw,17,19,2d8 + 10,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,17,4,9,3,4,16,10,9,4,10,2,3,9,4,4,9,2,NA
Ancient Green Dragon,MM,93,1,dragon,22,G,21,385,22d20 + 154,22,27,27,12,25,20,17,19,0,1,0,40,80,40,0,0,14,5,10,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,15,19,2d10 + 8,15,NA,mw,15,22,4d6 + 8,10,NA,mw,15,17,2d8 + 8,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,17,5,8,3,5,11,10,11,5,8,1,3,4,5,5,4,1,NA
Ancient Red Dragon,MM,97,1,dragon,24,G,22,546,28d20 + 252,28,26,30,10,29,18,15,23,0,1,0,40,80,0,40,0,16,4,9,7,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,17,21,2d10 + 10,15,NA,mw,17,17,2d6 + 10,10,NA,mw,17,19,2d8 + 10,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,16,4,7,2,4,6,2,6,4,10,0,2,6,4,4,6,0,NA
Ancient Silver Dragon,MM,116,1,dragon,23,G,22,487,25d20 + 225,25,26,30,10,29,18,15,23,0,1,0,40,80,0,0,0,16,4,9,7,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,17,21,2d10 + 10,15,NA,mw,17,17,2d6 + 10,10,NA,mw,17,19,2d8 + 10,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,16,11,7,2,4,6,2,6,11,10,0,2,6,4,4,6,0,NA
Ancient White Dragon,MM,100,1,dragon,20,G,20,333,18d20 + 144,18,23,26,10,26,10,13,14,0,1,1,40,80,40,0,40,14,0,7,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,14,19,2d10 + 8,15,NA,mw,14,15,2d6 + 8,10,NA,mw,14,17,2d8 + 8,20,NA,0,0,0,0,0,0,0,1,0,1,0,0,13,0,6,1,0,2,1,2,0,8,0,1,2,0,0,2,0,NA
